corp_id,corp_name,typ,address,county,coords,NAME
1010,Greater Clark County Schools,School Corporation,"2112 Utica-Sellersburg Rd, Jeffersonville, IN, 47130",Clark,"c(-85.6803132, 38.3380759)",Greater Clark County Schools
1125,Clay Community Schools,School Corporation,"1013 S Forest Ave, Brazil, IN, 47834",Clay,"c(-87.1258185, 39.5134146)",Clay Community Schools
1150,Clinton Central School Corporation,School Corporation,"Box 118, Michigantown, IN, 46057",Clinton,"c(-86.3782198, 40.2931784)",Clinton Central School Corporation
1160,Clinton Prairie School Corporation,School Corporation,"2390 S CR 450 W, Frankfort, IN, 46041",Clinton,"c(-86.5920065, 40.2512842)",Clinton Prairie School Corporation
1170,Community Schools of Frankfort,School Corporation,"2400 E Wabash Ave, Frankfort, IN, 46041",Clinton,"c(-86.4815614, 40.2794796)",Frankfort Community Schools
1180,Rossville Consolidated School District,School Corporation,"PO Box 11, Rossville, IN, 46065",Clinton,"c(-86.5947239, 40.4169804)",Rossville Consolidated School District
1300,Crawford County Community School Corporation,School Corporation,"5805 E Administration Rd, Marengo, IN, 47140",Crawford,"c(-86.3524126, 38.3216566)",Crawford County Community School Corporation
1315,Barr-Reeve Community Schools Incorporated,School Corporation,"Box 97, Montgomery, IN, 47558",Daviess,"c(-87.0491666, 38.6682821)",Barr-Reeve Community School Corporation
1375,North Daviess Community Schools,School Corporation,"5494 E SR 58, Elnora, IN, 47529",Daviess,"c(-87.0620062, 38.8474234)",North Daviess Community Schools
1405,Washington Community Schools,School Corporation,"301 E South St, Washington, IN, 47501",Daviess,"c(-87.172009, 38.6558995)",Washington Community School Corporation
1560,Sunman-Dearborn Community School Corporation,School Corporation,"1 Trojan Place Ste B, St Leon, IN, 47012",Dearborn,"c(-84.9741916, 39.2792271)",Sunman-Dearborn Community School Corporation
1600,South Dearborn Community School Corporation,School Corporation,"6109 Squire Pl, Aurora, IN, 47001",Dearborn,"c(-84.9325662, 39.0631857)",South Dearborn Community School Corporation
1620,Lawrenceburg Community School Corporation,School Corporation,"300 Tiger Blvd, Lawrenceburg, IN, 47025",Dearborn,"c(-84.8523647, 39.1005011)",Lawrenceburg Community School Corporation
1655,Decatur County Community Schools,School Corporation,"2020 N Montgomery Rd, Greensburg, IN, 47240",Decatur,"c(-85.4695443, 39.3576501)",Greensburg Community Schools
1730,Greensburg Community Schools,School Corporation,"1312 W Westridge Pky, Greensburg, IN, 47240",Decatur,"c(-85.5025371, 39.3529482)",Greensburg Community Schools
1805,DeKalb County Eastern Community School District,School Corporation,"300 E Washington St, Butler, IN, 46721",Dekalb,"c(-84.8683436, 41.4313289)",DeKalb County Eastern Community School District
1820,Garrett-Keyser-Butler Community School Corporation,School Corporation,"801 E Houston St, Garrett, IN, 46738",Dekalb,"c(-85.1266549, 41.3473204)",Garrett-Keyser-Butler Community Schools
1835,DeKalb County Central United School District,School Corporation,"3326 CR 427, Waterloo, IN, 46793",Dekalb,"c(-85.0649071, 41.4556306)",DeKalb County Central United School District
1875,Delaware Community School Corporation,School Corporation,"9750 N CR 200 E, Muncie, IN, 47303",Delaware,"c(-85.3863599, 40.1933767)",Muncie Community Schools
1885,Wes-Del Community Schools,School Corporation,"10290 N CR 600 W, Gaston, IN, 47342",Delaware,"c(-85.4994192, 40.2827958)",Wes-Del Community Schools
1895,Liberty-Perry Community School Corporation,School Corporation,"Box 337, Selma, IN, 47383",Delaware,"c(-85.2929384, 40.1521403)",Liberty-Perry Community School Corporation
1900,Cowan Community School Corporation,School Corporation,"9401 S Nottingham, Muncie, IN, 47302",Delaware,"c(-85.3931312, 40.1080198)",Cowan Community School Corporation
1910,Yorktown Community Schools,School Corporation,"2311 S Broadway St, Yorktown, IN, 47396",Delaware,"c(-85.4932738, 40.1719843)",Yorktown Community Schools
1940,Daleville Community Schools,School Corporation,"14300 W 2nd St, Daleville, IN, 47334",Delaware,"c(-85.5551793, 40.119923)",Daleville Community Schools
1970,Muncie Community Schools,School Corporation,"4301 S. Cowan Road, Muncie, IN, 47303",Delaware,"c(-85.4057523, 40.1545906)",Muncie Community Schools
2040,Northeast Dubois County School Corporation,School Corporation,"5379 E Main St Box 158, Dubois, IN, 47527",Dubois,"c(-86.805904, 38.445571)",Northeast Dubois County School Corporation
2100,Southeast Dubois County School Corporation,School Corporation,"432 E 15th St, Ferdinand, IN, 47532",Dubois,"c(-86.8573482, 38.2289015)",Southeast Dubois County School Corporation
2110,Southwest Dubois County School Corporation,School Corporation,"105 West Sunset Drive, Huntingburg, IN, 47542",Dubois,"c(-86.9611558, 38.2767247)",Southwest Dubois County School Corporation
2120,Greater Jasper Consolidated Schools,School Corporation,"1520 St Charles St Suite 1, Jasper, IN, 47546",Dubois,"c(-86.9514748, 38.4006147)",Greater Jasper Consolidated Schools
2155,Fairfield Community Schools,School Corporation,"67240 CR 31, Goshen, IN, 46528",Elkhart,"c(-85.769062, 41.5197842)",Fairfield Community Schools
2260,Baugo Community Schools,School Corporation,"29125 CR 22 W, Elkhart, IN, 46517",Elkhart,"c(-86.0247882, 41.6358153)",Baugo Community Schools
2270,Concord Community Schools,School Corporation,"59040 Minuteman Way, Elkhart, IN, 46517",Elkhart,"c(-85.9277509, 41.6374023)",Concord Community Schools
2275,Middlebury Community Schools,School Corporation,"56853 Northridge Dr, Middlebury, IN, 46540",Elkhart,"c(-85.7259625, 41.6704882)",Middlebury Community Schools
2285,Wa-Nee Community Schools,School Corporation,"1300 N Main St, Nappanee, IN, 46550",Elkhart,"c(-86.0022306, 41.4532945)",Wa-Nee Community Schools
2305,Elkhart Community Schools,School Corporation,"2720 California Rd, Elkhart, IN, 46514",Elkhart,"c(-86.0165091, 41.6960755)",Elkhart Community Schools
2315,Goshen Community Schools,School Corporation,"613 E Purl St, Goshen, IN, 46526",Elkhart,"c(-85.8255055, 41.5800861)",Goshen Community Schools
2395,Fayette County School Corporation,School Corporation,"1401 Spartan Drive, Connersville, IN, 47331",Fayette,"c(-85.1654536, 39.631994)",Fayette County School Corporation
2400,New Albany-Floyd County Consolidated School,School Corporation,"2813 Grant Line PO Box 1087, New Albany, IN, 47150",Floyd,"c(-85.8215136, 38.3176595)",New Albany-Floyd County Consolidated Schools
2435,Attica Consolidated School Corporation,School Corporation,"205 E Sycamore St, Attica, IN, 47918",Fountain,"c(-87.2538932, 40.2797504)",Attica Consolidated School Corporation
2440,Covington Community School Corporation,School Corporation,"601 Market St, Covington, IN, 47932",Fountain,"c(-87.3948857, 40.1442618)",Covington Community School Corporation
2455,Southeast Fountain School Corporation,School Corporation,"744 E US Hwy 136, Veedersburg, IN, 47987",Fountain,"c(-87.2260678, 40.1060057)",Southeast Fountain School Corporation
2475,Franklin County Community School Corporation,School Corporation,"225 E 10th St, Brookville, IN, 47012",Franklin,"c(-85.0101082, 39.4258273)",Franklin County Community School Corporation
2645,Rochester Community School Corporation,School Corporation,"690 Zebra Ln Box 108, Rochester, IN, 46975",Fulton,"c(-86.224814, 41.0555088)",Rochester Community School Corporation
2650,Caston School Corporation,School Corporation,"9815 S State Rd 25, Rochester, IN, 46975",Fulton,"c(-86.2822388, 40.9117014)",Caston School Corporation
2725,East Gibson School Corporation,School Corporation,"941 S. Franklin St., Oakland City, IN, 47660",Gibson,"c(-87.3511626, 38.3301977)",East Gibson School Corporation
2735,North Gibson School Corporation,School Corporation,"1104 N Embree St, Princeton, IN, 47670",Gibson,"c(-87.5797401, 38.3664824)",North Gibson School Corporation
2765,South Gibson School Corporation,School Corporation,"3321 W 800 S, Fort Branch, IN, 47648",Gibson,"c(-87.7346618, 38.2379076)",South Gibson School Corporation
2815,Eastbrook Community School Corporation,School Corporation,"CR 560 S 900 E, Marion, IN, 46953",Grant,"c(-85.5047347, 40.5449593)",Eastbrook Community School Corporation
2825,Madison-Grant United School Corporation,School Corporation,"11580 S/E 00 W, Fairmount, IN, 46928",Grant,"c(-85.6719567, 40.4219101)",Madison-Grant United School Corporation
2855,Mississinewa Community School Corporation,School Corporation,"424 E S 'A' St, Gas City, IN, 46933",Grant,"c(-85.6080034, 40.4865732)",Mississinewa Community School Corporation
2865,Marion Community Schools,School Corporation,"750 W 26th St, Marion, IN, 46953",Grant,"c(-85.6686617, 40.5379222)",Marion Community Schools
2920,Bloomfield School District,School Corporation,"501 W Spring St., Bloomfield, IN, 47424",Greene,"c(-86.9458888, 39.0253854)",Bloomfield School District
2940,Eastern Greene Schools,School Corporation,"1471 N SR 43, Bloomfield, IN, 47424",Greene,"c(-86.7447151, 39.043309)",Eastern Greene County School District
2950,Linton-Stockton School Corporation,School Corporation,"109 I Street NE, Linton, IN, 47441",Greene,"c(-87.1647168, 39.0412944)",Linton-Stockton School Corporation
2960,Metropolitan School District Shakamak Schools,School Corporation,"9233 Shakamak School Rd, Jasonville, IN, 47438",Greene,"c(-87.2123124, 39.1595628)",Shakamak Schools Metropolitan School District
2980,White River Valley School District,School Corporation,"PO Box 1470, Switz City, IN, 47465",Greene,"c(-87.0224442, 38.9915292)",White River Valley School District
3005,Hamilton Southeastern Schools,School Corporation,"13485 Cumberland Rd, Fishers, IN, 46038",Hamilton,"c(-85.9951648, 39.9847309)",Hamilton Southeastern Schools
3025,Hamilton Heights School Corporation,School Corporation,"PO Box 469, Arcadia, IN, 46030",Hamilton,"c(-85.9917437, 40.1783877)",Hamilton Heights School Corporation
3030,Westfield-Washington Schools,School Corporation,"19500 Tomlinson Rd., Westfield, IN, 46074",Hamilton,"c(-86.1388649, 40.0709784)",Westfield-Washington Schools
3055,Sheridan Community Schools,School Corporation,"24795 N Hinesley Rd, Sheridan, IN, 46069",Hamilton,"c(-86.2167232, 40.1470545)",Sheridan Community Schools
3060,Carmel Clay Schools,School Corporation,"5201 E Main St, Carmel, IN, 46033",Hamilton,"c(-86.0810734, 39.9777936)",Carmel Clay Schools
3070,Noblesville Schools,School Corporation,"18025 River Ave, Noblesville, IN, 46062",Hamilton,"c(-86.0290815, 40.0496787)",Noblesville Schools
3115,Southern Hancock County Community School Corporation,School Corporation,"PO Box 508, New Palestine, IN, 46163",Hancock,"c(-85.8690933, 39.7228776)",Southern Hancock County Community School Corporation
3125,Greenfield-Central Community Schools,School Corporation,"110 W North St, Greenfield, IN, 46140",Hancock,"c(-85.77119, 39.7864275)",Greenfield-Central Community Schools
3135,Mt Vernon Community School Corporation,School Corporation,"1806 W SR 234, Fortville, IN, 46040",Hancock,"c(-85.8401638, 39.9010796)",Mount Vernon Community School Corporation
3145,Eastern Hancock County Community School Corporation,School Corporation,"10370 E 250 N, Charlottesville, IN, 46117",Hancock,"c(-85.6096814, 39.8237477)",Eastern Hancock County Community School Corporation
3160,Lanesville Community School Corporation,School Corporation,"2725 Crestview Ave NE, Lanesville, IN, 47136",Harrison,"c(-85.9891043, 38.2390105)",Lanesville Community School Corporation
3180,North Harrison Community School Corporation,School Corporation,"1260 Hwy 64 NW, Ramsey, IN, 47166",Harrison,"c(-86.1548269, 38.3169506)",North Harrison Community School Corporation
3190,South Harrison Community Schools,School Corporation,"315 S Harrison Dr, Corydon, IN, 47112",Harrison,"c(-86.1216513, 38.2028812)",South Harrison Community Schools
3295,North West Hendricks Schools,School Corporation,"Box 70, Lizton, IN, 46149",Hendricks,"c(-86.5602614, 39.8687659)",North West Hendricks Schools
3305,Brownsburg Community School Corporation,School Corporation,"310 Stadium Dr, Brownsburg, IN, 46112",Hendricks,"c(-86.3896893, 39.8385959)",Brownsburg Community School Corporation
3315,Avon Community School Corporation,School Corporation,"7203 E US Hwy 36, Avon, IN, 46123",Hendricks,"c(-86.3946401, 39.7615222)",Avon Community School Corporation
3325,Danville Community School Corporation,School Corporation,"200 Warrior Way, Danville, IN, 46122",Hendricks,"c(-86.5417385, 39.7589461)",Danville Community School Corporation
3330,Plainfield Community School Corporation,School Corporation,"985 S Longfellow Dr, Plainfield, IN, 46168",Hendricks,"c(-86.395591, 39.6942116)",Plainfield Community School Corporation
3335,Mill Creek Community School Corporation,School Corporation,"6631 S CR 200 W, Clayton, IN, 46118",Hendricks,"c(-86.5596739, 39.6646095)",Mill Creek Community School Corporation
3405,Blue River Valley Schools,School Corporation,"3038 US Highway 36 East, New Castle, IN, 47362",Henry,"c(-85.3270225, 40.0048833)",Blue River Valley Schools
3415,South Henry School Corporation,School Corporation,"6972 S SR 103, Straughn, IN, 47387",Henry,"c(-85.3342973, 39.8260342)",South Henry School Corporation
3435,Shenandoah School Corporation,School Corporation,"5100 N Raider Rd, Middletown, IN, 47356",Henry,"c(-85.5256986, 40.0059389)",Shenandoah School Corporation
3445,New Castle Community School Corporation,School Corporation,"322 Elliott Ave, New Castle, IN, 47362",Henry,"c(-85.3802579, 39.9261015)",New Castle Community School Corporation
3455,C A Beard Memorial School Corporation,School Corporation,"8139 W US 40, Knightstown, IN, 46148",Henry,"c(-85.5874135, 39.7921207)",C. A. Beard Memorial School Corporation
